n,time(ms)
100,1
600,11
1100,13
1600,25
2100,19
2600,27
3100,39
3600,54
4100,74
4600,89
5100,104
5600,128
6100,151
6600,177
7100,202
7600,234
8100,251
8600,280
9100,313
9600,347
10100,386
10600,425
11100,467
11600,513
12100,558
12600,615
13100,653
13600,704
14100,758
14600,818
15100,876
15600,936
16100,1012
16600,1065
17100,1133
17600,1203
