n,time(ms)
100,0
600,0
1100,1
1600,1
2100,0
2600,0
3100,1
3600,0
4100,0
4600,1
5100,0
5600,1
6100,0
6600,1
7100,0
7600,1
8100,1
8600,0
9100,0
9600,1
10100,0
10600,3
11100,3
11600,0
12100,1
12600,0
13100,1
13600,0
14100,1
14600,0
15100,1
15600,1
16100,1
16600,0
17100,1
17600,1
