n,time(ms)
100,0
600,3
1100,4
1600,0
2100,1
2600,3
3100,1
3600,1
4100,0
4600,1
5100,0
5600,1
6100,0
6600,0
7100,3
7600,0
8100,1
8600,0
9100,2
9600,1
10100,1
10600,1
11100,0
11600,1
12100,2
12600,1
13100,0
13600,1
14100,1
14600,0
15100,1
15600,1
16100,1
16600,3
17100,0
17600,0
