n,time(ms)
100,0
600,0
1100,0
1600,0
2100,0
2600,0
3100,1
3600,0
4100,0
4600,0
5100,1
5600,0
6100,0
6600,1
7100,0
7600,0
8100,1
8600,0
9100,0
9600,0
10100,0
10600,1
11100,0
11600,0
12100,0
12600,1
13100,1
13600,0
14100,1
14600,0
15100,0
15600,1
16100,0
16600,1
17100,0
17600,0
