n,time(ms)
100,0
600,0
1100,1
1600,0
2100,0
2600,0
3100,1
3600,1
4100,1
4600,1
5100,1
5600,1
6100,1
6600,1
7100,1
7600,1
8100,1
8600,1
9100,1
9600,1
10100,1
10600,1
11100,1
11600,2
12100,1
12600,1
13100,1
13600,2
14100,3
14600,2
15100,2
15600,2
16100,2
16600,2
17100,1
17600,1
