n,time(ms)
100,1
600,1
1100,0
1600,1
2100,1
2600,1
3100,1
3600,2
4100,1
4600,1
5100,2
5600,1
6100,1
6600,1
7100,2
7600,1
8100,3
8600,5
9100,1
9600,1
10100,2
10600,4
11100,2
11600,2
12100,2
12600,1
13100,2
13600,2
14100,1
14600,2
15100,2
15600,2
16100,2
16600,2
17100,2
17600,2
