n,time(ms)
100,0
600,0
1100,0
1600,0
2100,1
2600,0
3100,1
3600,0
4100,1
4600,0
5100,0
5600,1
6100,1
6600,1
7100,1
7600,1
8100,1
8600,0
9100,1
9600,0
10100,1
10600,0
11100,1
11600,0
12100,1
12600,1
13100,0
13600,1
14100,0
14600,0
15100,1
15600,1
16100,0
16600,0
17100,2
17600,1
