n,time(ms)
100,1
600,0
1100,0
1600,0
2100,1
2600,0
3100,0
3600,0
4100,1
4600,0
5100,0
5600,0
6100,1
6600,1
7100,0
7600,1
8100,0
8600,1
9100,0
9600,1
10100,0
10600,0
11100,1
11600,0
12100,0
12600,0
13100,0
13600,0
14100,1
14600,0
15100,0
15600,0
16100,1
16600,1
17100,0
17600,1
